[	1st,	2nd,	3rd		4th		5th		6th		7th		8th		9th		10th	11th	12th	13th	14th	15th	16th	17th	18th	19th	20th	21st	22nd	23rd	24th	25th	26th	27th	28th	29th	30th	31st
	[890,	657,	424,	191,	1314,	1081,	615,	382,	149,	1272,	1039,	806,	573,	340,	107,	997,	764,	531,	298,	65,		1188,	722,	489,	256,	23,		1146,	913,	680,	447,	214,	1104],	DEC
	[325,	92,		1215,	982,	749,	516,	50,		1173,	940,	707,	474,	241,	8,		1131,	665,	432,	199,	1322,	1089,	856,	623,	390,	157,	1047,	814,	581,	348,	115,	1238,	772,	539],	JAN
	[1116,	883,	650,	417,	184,	1307,	841,	608,	375,	142,	1265,	1032,	799,	566,	100,	1223,	990,	757,	524,	291,	58,		948,	715,	482,	249,	16,		1139,	906,	673,	207,	1330],	FEB
	[551,	318,	85,		1208,	975,	742,	276,	43,		1166,	933,	700,	467,	234,	1,		891,	658,	425,	192,	1315,	1082,	849,	383,	150,	1273,	1040,	807,	574,	341,	108,	998,	765],	MAR
	[1342,	1109,	876,	643,	410,	177,	1067,	834,	601,	368,	135,	1258,	1025,	792,	326,	93,		1216,	983,	750,	517,	284,	51,		941,	708,	475,	242,	9,		1132,	899,	433,	200],	APR
	[777,	544,	311,	78,		1201,	968,	502,	269,	36,		1159,	926,	693,	460,	227,	1117,	884,	651,	418,	185,	1308,	1075,	609,	376,	143,	1266,	1033,	800,	567,	334,	101,	991],	MAY
	[212,	1335,	1102,	869,	636,	403,	170,	1060,	827,	594,	361,	128,	1251,	1018,	552,	319,	86,		1209,	976,	743,	510,	277,	44,		934,	701,	468,	235,	2,		1125,	659,	426],	JUN
	[1003,	770,	537,	304,	71,		1194,	728,	495,	262,	29,		1152,	919,	686,	453,	220,	1110,	877,	644,	411,	178,	1301,	835,	602,	369,	136,	1259,	1026,	793,	560,	94,		1217],	JUL
	[438,	205,	1328,	1095,	862,	629,	163,	1286,	1053,	820,	587,	354,	121,	1244,	778,	545,	312,	79,		1202,	969,	736,	503,	37,		1160,	927,	694,	461,	228,	1351,	885,	652],	AUG
	[1229,	996,	763,	530,	297,	64,		954,	721,	488,	255,	22,		1145,	912,	679,	213,	1336,	1103,	870,	637,	404,	171,	1061,	828,	595,	362,	129,	1252,	1019,	786,	320,	87],	SEP
	[664,	431,	198,	1321,	1088,	855,	389,	156,	1279,	1046,	813,	580,	347,	114,	1004,	771,	538,	305,	72,		1195,	962,	496,	263,	30,		1153,	920,	687,	454,	221,	1111,	878],	OCT
	[99,	1222,	989,	756,	523,	290,	57,		947,	714,	481,	248,	15,		1138,	905,	439,	206,	1329,	1096,	863,	630,	397,	164,	1054,	821,	588,	355,	122,	1245,	1012,	546,	313]	NOV
]
